KO_name	ko	ID11_1	ID12_1	ID13_1	ID14_1	ID15_1	ID17_1	ID18_1	ID19_1	ID20_1	ID21_1	ID22_1	ID23_1	ID24_1	ID25_1	ID26_1	ID27_1	ID28_1	ID29_1	ID30_1	ID31_1	ID32_1	ID33_1	ID34_1	ID35_1	ID36_1	ID37_1	ID38_1
K00049  GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	K00049	9	0	1	0	6	2	0	0	0	25	1	0	5	2	2	3	1	4	3	0	0	1	1	1	0	1	2
K00052  leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	K00052	1196	1361	540	3628	998	704	5689	450	2508	2663	2425	5140	18635	3591	2310	1585	7126	2551	7856	919	2677	3954	2441	1366	1604	1798	2697
K00053  ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	K00053	645	972	180	2473	560	305	3591	233	1677	1134	1298	2579	11300	1636	1319	1008	5430	1594	6469	337	1744	2311	1388	838	904	1054	904
K00054  mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	K00054	11	8	2	0	2	1	9	0	32	50	135	95	917	41	94	15	172	63	300	25	121	274	162	128	110	93	281
K00055  E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]	K00055	131	69	33	370	116	54	651	29	151	31	118	397	736	249	97	141	121	245	162	69	81	162	225	54	149	61	63
K00057  gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	K00057	609	960	203	1999	511	266	2835	243	1219	1307	786	2454	9543	1685	992	955	3460	2038	5028	390	1258	1603	909	459	690	849	471
K00058  serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	K00058	1712	2632	734	7150	1909	888	10319	717	4746	3957	3754	8738	32808	5462	3776	2435	10389	4211	12220	1140	4235	7075	4348	2310	2909	3265	2661
K00059  fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	K00059	5293	5445	1977	17669	4997	2446	26629	2152	11412	9218	4136	14597	33521	9678	3426	6723	11647	13087	13718	1796	5075	6880	4729	2298	3478	4859	2406
K00060  tdh; threonine 3-dehydrogenase [EC:1.1.1.103]	K00060	533	725	312	2211	426	318	2894	177	1347	858	956	1535	6754	1388	882	780	3753	1123	4254	314	1202	1463	966	533	560	568	380
K00062  ARA2; D-arabinose 1-dehydrogenase [EC:1.1.1.116]	K00062	9	0	6	0	4	1	2	5	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0
K00064  E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	K00064	250	286	97	1069	210	68	1737	104	664	431	57	557	643	482	58	257	461	616	1176	89	171	320	194	84	73	170	310
K00065  kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	K00065	388	937	92	1927	312	149	1921	160	1265	974	615	1843	4680	1047	576	611	2119	1064	2395	188	1027	708	571	229	351	471	412
K00066  algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	K00066	529	400	184	1272	391	293	1919	163	1352	1085	419	1029	3174	1172	377	758	1936	767	2319	198	766	582	478	160	252	322	464
K00067  rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	K00067	907	1260	340	2822	791	540	3761	308	1706	1408	1707	2816	16235	1830	1947	1061	6902	1973	7641	506	2443	2582	1728	859	1032	1081	985
K00068  srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	K00068	362	281	45	1017	370	65	2345	256	402	753	210	397	1803	183	188	648	635	1339	534	97	190	732	282	171	232	422	343
K00069  HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]	K00069	8	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00070  HSD3B; 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]	K00070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	1
K00073  allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	K00073	69	197	35	536	76	38	781	23	237	186	86	574	771	348	71	147	127	158	236	45	141	126	114	66	103	145	86
K00074  paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	K00074	1255	847	497	3380	1203	628	5208	585	2486	2275	1718	3515	13531	3064	1490	1886	3749	3244	4576	683	1660	2904	1830	822	1205	1261	729
K00075  murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	K00075	656	887	253	2745	627	319	4112	263	1587	1309	1026	2208	9288	1849	1114	1168	3662	1856	4757	379	1545	2005	997	641	751	944	692
K00076  hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	K00076	72	95	26	356	35	15	503	42	207	237	57	280	588	234	62	78	21	216	38	67	53	81	46	35	66	44	19
K00077  panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]	K00077	1718	1351	628	3188	1660	895	5846	639	3351	2238	943	3615	7923	2742	834	1693	2908	2903	2750	533	1463	2671	1391	847	1070	1543	767
K00079  CBR1; carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]	K00079	12	0	2	1	1	2	1	5	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
K00082  ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	K00082	196	107	31	771	161	23	1685	122	278	568	152	644	1669	591	224	327	608	778	466	102	230	443	161	146	124	333	311
K00083  CAD; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	K00083	0	0	1	0	0	1	0	1	0	10	0	3	1	2	0	0	0	0	0	4	0	0	1	0	1	0	0
K00086  dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]	K00086	92	29	13	51	30	18	95	69	75	218	45	118	285	65	38	228	145	517	133	4	10	65	81	42	41	141	35
K00087  ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	K00087	95	261	38	1393	29	27	1537	21	579	701	640	1823	4419	1111	473	376	456	390	831	122	680	611	933	221	333	227	269
K00088  IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	K00088	1160	1489	398	3962	1027	415	6249	510	2265	2212	1800	3774	17304	2594	2016	1565	6557	2883	8249	507	2533	3130	2102	1134	1259	1682	1229
K00090  ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	K00090	14	20	4	14	11	7	20	5	6	4	35	146	242	111	13	8	155	28	196	22	39	13	12	7	15	45	5
K00091  E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]	K00091	625	1235	377	3018	583	419	3905	292	1593	1453	790	2346	9121	1772	947	1159	4150	1949	5283	423	1334	1921	866	486	683	938	1113
K00094  E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	K00094	0	0	0	0	0	0	2	0	0	0	37	2	206	0	10	0	1	4	0	0	4	6	39	5	2	1	3
K00096  araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	K00096	117	155	20	649	174	14	809	43	139	264	455	569	3810	458	443	72	2450	252	3192	149	343	683	427	317	348	220	188
K00097  pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	K00097	136	456	67	579	62	48	1030	47	393	543	676	1636	5507	995	718	244	794	470	608	144	1001	1197	861	430	442	501	589
K00098  idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264]	K00098	25	54	14	70	40	31	265	20	64	32	128	81	660	137	60	73	209	144	198	9	240	142	181	59	72	77	64
K00099  dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	K00099	786	1168	318	2972	867	432	4424	314	1785	1394	1148	2710	11578	1985	1294	1114	4539	1975	5505	455	1882	2443	1329	740	860	1173	625
K00100  bdhAB; butanol dehydrogenase [EC:1.1.1.-]	K00100	11	10	1	2	9	11	63	5	4	13	52	71	739	30	67	8	214	31	297	0	61	51	88	17	39	15	34
K00101  lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	K00101	849	1030	235	3432	664	392	5062	381	2049	1850	74	2990	536	2056	50	1392	287	2180	411	412	597	354	113	71	291	643	153
K00102  LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	K00102	387	529	161	2296	395	138	2413	127	2079	1221	334	2613	2531	2010	322	542	1037	768	675	424	606	611	428	168	397	686	345
K00103  GULO; L-gulonolactone oxidase [EC:1.1.3.8]	K00103	207	43	24	343	355	97	785	123	80	290	81	271	182	62	20	210	99	572	76	12	14	104	48	33	54	147	26
K00104  glcD; glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]	K00104	1109	1829	428	4615	1292	444	5947	527	2941	2504	1632	5022	11617	3877	1219	1671	3682	3765	2473	802	1845	3542	2069	1071	1315	2001	911
K00105  E1.1.3.21; alpha-glycerophosphate oxidase [EC:1.1.3.21]	K00105	0	5	0	28	0	0	43	0	29	1	0	28	1	10	0	25	0	12	0	0	3	3	0	0	6	0	1
K00106  XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	K00106	50	2	21	10	21	26	47	30	20	5	4	241	30	66	0	9	12	37	31	1	3	0	1	0	12	2	0
K00107  ALO; D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]	K00107	24	0	9	1	6	8	4	10	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
K00108  betA, CHDH; choline dehydrogenase [EC:1.1.99.1]	K00108	1481	1016	676	2934	1644	569	4779	636	1859	3382	155	5997	569	4183	42	1491	405	3446	1132	556	470	312	172	54	699	1043	142
K00109  L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	K00109	52	47	33	90	62	41	55	25	88	324	152	90	999	52	116	36	52	107	110	24	79	159	156	42	79	67	67
K00111  glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	K00111	1268	1546	501	4174	1144	603	6442	499	2393	2277	2091	4860	16297	3200	2048	1729	6409	3277	8168	791	2737	3452	2441	1310	1720	1740	1479
K00112  glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	K00112	47	43	9	425	204	13	721	10	132	6	101	189	1639	113	152	1	1629	57	1752	23	122	339	194	84	126	81	87
K00113  glpC; glycerol-3-phosphate dehydrogenase subunit C	K00113	67	80	22	573	208	19	739	10	247	113	497	371	4781	250	497	86	1759	159	1984	52	909	887	591	230	334	210	362
K00114  exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	K00114	3181	3142	932	9419	2506	1678	11888	1223	5801	2920	283	3305	2435	2918	235	3895	1164	7346	1105	512	1304	661	483	199	590	879	414
K00115  GLD; glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]	K00115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
K00116  mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]	K00116	146	84	46	189	152	105	287	68	54	15	383	36	1652	18	403	102	1	329	6	55	347	433	259	237	165	243	105
K00117  gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]	K00117	2420	2507	895	7887	1772	1191	10451	819	4096	2150	557	2674	4474	2642	646	2725	1863	5950	1567	365	1202	637	704	225	477	573	253
K00118  gfo; glucose-fructose oxidoreductase [EC:1.1.99.28]	K00118	59	34	22	351	71	40	786	15	190	7	54	197	981	102	79	44	32	176	33	9	30	120	62	30	44	63	37
K00121  frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	K00121	462	808	173	2641	781	165	3704	247	1236	1391	104	2578	540	1586	45	706	118	1643	100	278	341	343	201	91	353	527	128
K00122  FDH; formate dehydrogenase [EC:1.17.1.9]	K00122	604	560	368	1364	487	352	1523	191	1786	576	336	1060	3027	1401	325	550	498	890	367	154	441	249	433	78	267	251	166
K00123  fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]	K00123	2256	2607	992	8586	2298	1280	11850	846	5620	3959	3826	8609	27550	5533	3625	3030	7840	4941	8186	988	2607	7147	4711	2784	2878	2879	2082
K00124  fdoH, fdsB; formate dehydrogenase iron-sulfur subunit	K00124	641	466	262	2744	599	320	3736	222	2052	979	1026	2456	6886	1606	800	847	4020	1683	3335	469	1164	2657	1313	855	770	1080	542
K00125  fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]	K00125	3	4	2	0	2	0	0	0	1	0	320	87	2638	32	436	0	2187	8	2306	30	104	310	352	138	163	40	120
K00126  fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]	K00126	15	30	6	98	7	7	157	4	28	17	3	67	62	48	8	29	117	23	29	4	1	10	3	7	6	16	3
K00127  fdoI, fdsG; formate dehydrogenase subunit gamma	K00127	321	259	165	1191	232	219	1415	123	710	637	233	1051	1389	937	116	471	545	728	377	193	245	566	348	133	184	303	134
K00128  ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	K00128	4405	3282	2014	10566	3801	2345	16231	1712	6380	5124	1617	7249	13671	6195	1692	4438	7501	8567	7760	1305	2413	2860	1869	850	1466	2364	1335
K00129  ALDH3; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]	K00129	103	54	52	131	58	55	256	71	53	29	109	36	1055	21	162	48	74	79	108	40	157	352	206	89	74	129	122
K00130  betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]	K00130	2858	1733	1065	7851	2647	1447	13622	1072	4487	4373	559	6042	5203	4484	498	3360	4985	5748	4537	716	932	1570	570	365	910	1585	404
K00131  gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	K00131	7	22	8	228	4	10	304	2	76	214	236	186	1617	49	233	30	137	42	140	24	92	239	270	80	144	82	393
K00132  E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]	K00132	29	13	9	210	18	2	400	4	31	347	178	151	2014	33	204	12	1	6	1	3	122	309	160	101	154	183	83
K00133  asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	K00133	1270	1515	561	3836	1094	706	5184	492	2503	1789	1470	3502	13440	2975	1573	1669	7084	3146	8379	609	2029	2831	1542	898	1126	1325	920
K00134  GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	K00134	852	1286	327	3280	887	352	4464	326	2291	1396	1578	3610	15386	2099	1694	1122	4942	2066	6667	553	2023	3130	1904	1039	1173	1483	1244
K00135  gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	K00135	2042	1700	670	6079	2482	1187	9091	805	4462	3474	1428	7143	13028	4076	1544	2570	6347	4892	5039	965	1344	3142	1463	965	1435	2223	1150
K00137  prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]	K00137	29	14	17	29	11	15	234	21	14	92	53	289	543	242	38	35	245	59	174	20	22	47	49	13	29	49	33
K00138  aldB; aldehyde dehydrogenase [EC:1.2.1.-]	K00138	1323	970	614	2608	781	699	2786	484	2224	1294	263	2104	2566	1621	238	1932	4494	2509	3787	368	428	551	258	129	394	677	133
K00139  ALDH5A1; succinate-semialdehyde dehydrogenase [EC:1.2.1.24]	K00139	3	0	4	1	1	4	5	1	0	0	0	0	0	1	0	1	0	10	0	4	0	0	0	0	0	1	0
K00140  mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	K00140	818	1088	243	3591	722	356	5799	414	2115	1839	848	3194	6154	2075	690	1320	4339	2034	5690	410	751	1491	915	412	730	1047	767
K00141  xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]	K00141	516	696	230	3053	487	332	4013	228	1341	1088	151	1464	1287	1583	141	931	1540	1493	1837	316	241	331	139	93	153	402	117
K00142  AASDH; acyl-CoA synthetase [EC:6.2.1.-]	K00142	0	8	0	37	0	0	2	0	25	0	5	10	73	2	13	0	1	0	0	0	17	36	25	8	5	4	1
K00143  LYS2; L-2-aminoadipate reductase [EC:1.2.1.95]	K00143	40	0	26	0	18	26	24	37	0	5	0	1	1	0	0	0	0	32	0	2	0	0	0	0	4	0	0
K00145  argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	K00145	672	1119	270	2835	624	357	4208	219	1652	1238	924	2644	10741	1813	1111	1012	4853	1808	5728	409	1393	1972	1196	586	831	895	833
K00146  feaB, tynC; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]	K00146	2095	1534	946	5956	1813	1299	8649	814	4310	2901	246	3686	1999	3305	183	2812	2198	4347	2178	546	523	592	219	142	592	862	170
K00147  proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	K00147	426	785	140	1788	429	199	2840	171	1073	1005	999	2270	8298	1271	1019	772	2311	1320	2926	251	1540	1903	1180	676	721	926	750
K00148  fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	K00148	363	294	87	1439	326	101	1986	161	586	520	469	681	3419	280	395	367	563	811	485	43	381	241	686	118	307	226	207
K00150  gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]	K00150	2	2	0	2	0	0	0	0	13	2	309	127	1977	28	259	2	1033	2	1284	11	42	329	211	211	139	72	106
